d_gu_name,bjdong_nm,total_cnt,evening_2030_cnt,morning_2030_cnt,afternoon_2030_cnt,late_night_2030_cnt,weekday_2030_cnt,friday_2030_cnt,weekend_2030_cnt,adjusted_mobility_score,mobility_score,residential_dominance_score,young_single_ratio,young_homebound_ratio,evening_2030_ratio,morning_2030_ratio,afternoon_2030_ratio,late_night_2030_ratio,weekday_2030_ratio,friday_2030_ratio,weekend_2030_ratio,commercial_zone_ratio,residential_zone_ratio,food_sales_ratio,daytime_influx_ratio,commercial_potential_score,bjdong_cd,candidate_type,visit_pattern_type,residential_filter
강서구,등촌동,4268481.79,205970.18,61105.78,515528.41000000003,102824.2,920556.8300000001,218745.28,370339.57,1.6919532301927098,2.320880038685938,0.1459796466880663,0.21269319347427884,0.039542744769424515,0.16284274249098557,0.033676155563949005,0.3262585015295936,0.06840460136186359,0.6089450608888933,0.14434860800937385,0.24670633110173287,0.0,0.0,0.0,1.0,1.8586198968593763,11500530,관찰 필요,목적 방문형,방문성 검토
동작구,노량진동,2268738.58,142921.43,40880.93,355529.86,59572.049999999996,624520.1,144265.8,232959.15999999997,1.8562089725299213,3.017101896083763,1.6584184622197742,0.29341378447450545,0.059885462691693314,0.13142132949182464,0.04219984014887394,0.36165743094629976,0.05727894596267526,0.6305650771374632,0.14470548026899777,0.22472944259353897,0.0,0.0,0.0,1.0,1.8562089725299213,11590510,관찰 필요,불명확,혼재형 (상권+거주)
관악구,서원동,1071330.11,113723.86,6088.38,163601.43,39147.32,301283.34,76641.6,153219.72,1.3276061752621113,4.93956200555383,5.159936900416741,0.5522457209427368,0.08513307644054127,0.21411089777312267,0.011462752915561647,0.3080167086684068,0.07370368742858113,0.5672340563491686,0.14429515303796897,0.2884707906128624,0.0,0.0,0.0,1.0,1.8276061752621113,11620645,핵심 후보형,목적 방문형,혼재형 (상권+거주)
중구,황학동,585111.78,43851.9,3893.66,68099.31999999999,19196.02,129063.58,32395.8,59562.36,1.3151562103113474,2.6393886974177074,1.8917606958662285,0.38298561151079136,0.051940447641886496,0.19840536953514168,0.017616638073702614,0.30811141021693156,0.0868512753541801,0.5839406566973909,0.14657291178686765,0.2694864315157414,0.0,0.0,0.0,1.0,1.8151562103113474,11140670,소규모 2030 집중형,목적 방문형,혼재형 (상권+거주)
구로구,신도림동,1711766.64,79877.04,13478.75,191661.28,26699.78,301623.57,71986.72,155780.17,1.811516710986821,1.811516710986821,-1.3924418468613609,0.10002388458966276,0.02353778542084647,0.15088492527802636,0.02546088571373198,0.3620414315739653,0.0504349473921385,0.5697563382611769,0.1359803877085356,0.2942632740302876,0.0,0.0,0.0,1.0,1.811516710986821,11530510,광역 목적지형,불명확,방문성 검토
중랑구,망우본동,1662828.31,74635.37,10224.29,145727.34,33494.14,256587.33,59465.83,112493.39,1.3057573914412475,1.3229180109935283,0.024515170788972737,0.17077581760033012,0.0407943877024657,0.17415930661441562,0.023858061627144125,0.340050199914105,0.07815753037797178,0.5987385267714791,0.1387616584476062,0.2624998147809147,0.0,0.0,0.0,1.0,1.8057573914412475,11260655,관찰 필요,목적 방문형,방문성 검토
영등포구,도림동,655928.26,43277.04,3869.42,62088.45,15857.869999999999,123860.18,28084.0,53708.14,1.29675628417582,2.041320390526327,1.063663009072153,0.26319897450505625,0.052619285002136446,0.21043788856843434,0.018815348156539152,0.3019097961063605,0.07711009532982657,0.6022795171967911,0.13656057952567713,0.2611599032775317,0.0,0.0,0.0,1.0,1.79675628417582,11560585,관찰 필요,목적 방문형,방문성 검토
광진구,자양동,5248936.05,279270.08999999997,41145.74,708324.44,102863.11,1079069.48,261487.19,518622.30999999994,1.765467270939927,2.2947254367897676,0.23706409534719397,0.21387216700242057,0.04116073641476074,0.15299466648075608,0.022133489980075496,0.37744216083298326,0.05674628468998663,0.5837366943526694,0.14038464884104532,0.27587865680628526,0.0,0.0,0.0,1.0,1.765467270939927,11215847,광역 목적지형,불명확,방문성 검토
은평구,녹번동,1461587.2,76225.77,8740.18,127962.65,31845.75,249908.93,57177.01,97539.69,1.750489704743885,1.750489704743885,-0.4309772051664965,0.16112097550540164,0.02937854315969623,0.18838591613684977,0.02160065836659927,0.316249492154019,0.07870423334280628,0.6176300052965008,0.14130842378917025,0.2410615709143289,0.0,0.0,0.0,1.0,1.750489704743885,11380510,관찰 필요,생활 밀착형,방문성 검토
마포구,성산동,2489743.6100000003,156501.42,22693.06,296373.5,62880.14,519548.73,118743.07,237668.07,1.4974867760972717,2.5503135889733946,1.504038304108747,0.30361532481053566,0.04289741093541198,0.17660655504723755,0.024794840456385973,0.34146784030315325,0.07101653086514485,0.5968202373102197,0.1366940838760474,0.2664856788137329,0.0,0.0,0.0,1.0,1.7474867760972717,11440730,광역 목적지형,목적 방문형,혼재형 (상권+거주)
